run_accession	fastq_ftp_1	fastq_ftp_2	read_count	low_depth_flag
ERR6229432	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6229432/ERR6229432_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR622/002/ERR6229432/ERR6229432_2.fastq.gz	85177798	ok
ERR6232524	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/004/ERR6232524/ERR6232524_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/004/ERR6232524/ERR6232524_2.fastq.gz	64259752	ok
ERR6232525	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/005/ERR6232525/ERR6232525_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/005/ERR6232525/ERR6232525_2.fastq.gz	17722586	ok
ERR6232528	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232528/ERR6232528_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6232528/ERR6232528_2.fastq.gz	18714722	ok
ERR6232687	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/007/ERR6232687/ERR6232687_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/007/ERR6232687/ERR6232687_2.fastq.gz	16190686	ok
ERR6235718	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6235718/ERR6235718_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/008/ERR6235718/ERR6235718_2.fastq.gz	39444340	ok
ERR6236131	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/001/ERR6236131/ERR6236131_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR623/001/ERR6236131/ERR6236131_2.fastq.gz	30514670	ok
ERR6243880	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR624/000/ERR6243880/ERR6243880_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR624/000/ERR6243880/ERR6243880_2.fastq.gz	46220226	ok
ERR6254869	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR625/009/ERR6254869/ERR6254869_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR625/009/ERR6254869/ERR6254869_2.fastq.gz	30480172	ok
ERR6264280	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/000/ERR6264280/ERR6264280_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/000/ERR6264280/ERR6264280_2.fastq.gz	69347576	ok
ERR6267711	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/001/ERR6267711/ERR6267711_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/001/ERR6267711/ERR6267711_2.fastq.gz	17031202	ok
ERR6267712	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/002/ERR6267712/ERR6267712_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR626/002/ERR6267712/ERR6267712_2.fastq.gz	47736708	ok
ERR6275659	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6275659/ERR6275659_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6275659/ERR6275659_2.fastq.gz	36853022	ok
ERR6275664	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6275664/ERR6275664_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/004/ERR6275664/ERR6275664_2.fastq.gz	29588982	ok
ERR6275668	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6275668/ERR6275668_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6275668/ERR6275668_2.fastq.gz	93998040	ok
ERR6275669	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6275669/ERR6275669_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6275669/ERR6275669_2.fastq.gz	41606120	ok
ERR6275670	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6275670/ERR6275670_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6275670/ERR6275670_2.fastq.gz	45255514	ok
ERR6275671	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6275671/ERR6275671_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6275671/ERR6275671_2.fastq.gz	33687194	ok
ERR6275678	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6275678/ERR6275678_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6275678/ERR6275678_2.fastq.gz	11271260	ok
ERR6275680	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6275680/ERR6275680_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6275680/ERR6275680_2.fastq.gz	63387160	ok
ERR6279618	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279618/ERR6279618_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279618/ERR6279618_2.fastq.gz	101000416	ok
ERR6279621	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6279621/ERR6279621_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6279621/ERR6279621_2.fastq.gz	19318938	ok
ERR6279622	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6279622/ERR6279622_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6279622/ERR6279622_2.fastq.gz	64480552	ok
ERR6279623	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6279623/ERR6279623_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6279623/ERR6279623_2.fastq.gz	38752162	ok
ERR6279629	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6279629/ERR6279629_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6279629/ERR6279629_2.fastq.gz	30517458	ok
ERR6279645	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279645/ERR6279645_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279645/ERR6279645_2.fastq.gz	20355146	ok
ERR6279646	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/006/ERR6279646/ERR6279646_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/006/ERR6279646/ERR6279646_2.fastq.gz	12369600	ok
ERR6279648	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279648/ERR6279648_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279648/ERR6279648_2.fastq.gz	36260474	ok
ERR6279649	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6279649/ERR6279649_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/009/ERR6279649/ERR6279649_2.fastq.gz	20207050	ok
ERR6279651	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6279651/ERR6279651_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/001/ERR6279651/ERR6279651_2.fastq.gz	21101072	ok
ERR6279652	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6279652/ERR6279652_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/002/ERR6279652/ERR6279652_2.fastq.gz	15385638	ok
ERR6279658	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279658/ERR6279658_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/008/ERR6279658/ERR6279658_2.fastq.gz	11336784	ok
ERR6279660	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6279660/ERR6279660_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/000/ERR6279660/ERR6279660_2.fastq.gz	26851998	ok
ERR6279665	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279665/ERR6279665_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279665/ERR6279665_2.fastq.gz	60156870	ok
ERR6279673	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6279673/ERR6279673_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/003/ERR6279673/ERR6279673_2.fastq.gz	28678760	ok
ERR6279675	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279675/ERR6279675_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/005/ERR6279675/ERR6279675_2.fastq.gz	35142570	ok
ERR6279677	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6279677/ERR6279677_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR627/007/ERR6279677/ERR6279677_2.fastq.gz	71941760	ok
ERR6280907	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/007/ERR6280907/ERR6280907_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/007/ERR6280907/ERR6280907_2.fastq.gz	82687158	ok
ERR6281341	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281341/ERR6281341_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281341/ERR6281341_2.fastq.gz	90534022	ok
ERR6281504	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281504/ERR6281504_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/004/ERR6281504/ERR6281504_2.fastq.gz	59010508	ok
ERR6281586	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/006/ERR6281586/ERR6281586_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/006/ERR6281586/ERR6281586_2.fastq.gz	48594304	ok
ERR6281658	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6281658/ERR6281658_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6281658/ERR6281658_2.fastq.gz	46067042	ok
ERR6281751	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281751/ERR6281751_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281751/ERR6281751_2.fastq.gz	76522378	ok
ERR6281941	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281941/ERR6281941_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/001/ERR6281941/ERR6281941_2.fastq.gz	79766402	ok
ERR6282137	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/007/ERR6282137/ERR6282137_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/007/ERR6282137/ERR6282137_2.fastq.gz	114246506	ok
ERR6282298	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6282298/ERR6282298_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR628/008/ERR6282298/ERR6282298_2.fastq.gz	91870578	ok
